name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
max-finkgrafe_2023/2024,12.0,34.22,236.0,27.0,42.0,19.0,211.9,509.0,1480.0
aymen-barkok_2023/2024,12.0,33.23,46.0,12.0,6.0,15.0,49.0,115.0,351.0
diogo-leite_2023/2024,12.0,31.73,288.0,83.0,3.0,38.0,349.0,532.0,2041.0
josip-juranovic_2023/2024,12.0,34.62,86.0,6.0,26.0,4.0,155.5,297.0,894.0
emil-forsberg_2023/2024,12.0,32.4,37.0,1.0,2.0,4.0,62.2,98.0,356.0
maxence-lacroix_2023/2024,12.0,36.13,259.0,71.0,2.0,29.0,268.0,549.0,1590.0
marvin-friedrich_2023/2024,12.0,32.83,119.0,44.0,1.0,10.0,177.3,162.0,697.0
mads-pedersen_2023/2024,12.0,33.92,208.0,16.0,41.0,32.0,225.7,573.0,1578.0
nicolas-hofler_2023/2024,12.0,32.04,263.0,68.0,,29.0,294.2,465.0,1641.0
silvan-widmer_2023/2024,12.0,33.05,100.0,23.0,30.0,10.0,156.6,451.0,1267.0
mark-uth_2023/2024,12.0,30.87,42.0,2.0,7.0,7.0,49.5,119.0,371.0
ian-maatsen_2023/2024,12.0,35.05,112.0,2.0,19.0,20.0,155.3,372.0,982.0
senne-lynen_2023/2024,11.0,34.78,189.0,15.0,3.0,32.0,243.6,393.0,1470.0
fabian-holland_2023/2024,11.0,31.27,171.0,17.0,11.0,34.0,213.1,215.0,1058.0
fraser-hornby_2023/2024,11.0,32.66,18.0,10.0,4.0,5.0,29.0,68.0,178.0
patrick-wimmer_2023/2024,11.0,33.56,93.0,13.0,7.0,13.0,71.2,195.0,474.0
omar-traore_2023/2024,11.0,34.01,227.0,19.0,53.0,26.0,280.5,646.0,1750.0
john-anthony-brooks_2023/2024,11.0,31.92,149.0,65.0,1.0,15.0,171.5,168.0,728.0
felix-uduokhai_2023/2024,11.0,31.8,306.0,132.0,1.0,29.0,342.0,591.0,1959.0
felix-agu_2023/2024,11.0,34.91,175.0,23.0,40.0,15.0,190.9,532.0,1382.0
dayot-upamecano_2023/2024,10.0,35.02,190.0,48.0,2.0,22.0,212.2,400.0,1168.0
leart-paqarada_2023/2024,10.0,33.17,93.0,13.0,40.0,7.0,129.8,264.0,834.0
rasmus-carstensen_2023/2024,10.0,33.32,166.0,24.0,52.0,22.0,214.9,590.0,1680.0
